OrderId,ItemId,ProductName,Price,Order_status,Date_Delevered,Colour,Size,Seller
OD120593633348869000,1.20594E+16,Okra Diwan Bed Engineered Wood Single Bo...,"8,490",Delivery,Jan 21 2021,Colour Not Available,Size Not Applicable,Okra Furniture
OD120504318790984000,1.20504E+16,Google Nest Mini (2nd Gen) with Google A...,"2,299",Delivered,Dec 19 2020,Black,Size Not Applicable,RetailNet
OD120432604915008000,1.20433E+16,Jockey Men Brief,508,Delivered,Dec 14 2020,Multicolor,S,FORBESKART
OD120109581460472000,1.2011E+16,Lenovo IdeaPad Gaming 3i Core i5 10th Ge...,"61,890 + 100",Delivered,Nov 09 2020,Onyx Black,Size Not Applicable,PETILANTE Online
OD119978132602261000,1.19978E+16,boAt Rockerz 235v2 Bluetooth Headset,799,Delivered,Oct 27 2020,Red,Size Not Applicable,CORSECA
OD119967422329109000,1.19967E+16,Whirlpool 190 L Direct Cool Single Door ...,"9,231",Delivered,Oct 24 2020,Grey,Size Not Applicable,RAMTHRALLA Retail
OD119960073125064000,1.1996E+16,Adrenex Striped Men Black Track Pants,349,Delivered,Oct 26 2020,Black,L,RetailNet
OD119960049721309000,1.1996E+16,Metronaut Printed Men Black Track Pants,390,Delivered,Oct 17 2020,Black,L,RetailNet
OD119959983047846000,1.1996E+16,Hot Wheels 10 cars Gift Pack,549,Delivered,Oct 19 2020,Multicolor,Size Not Applicable,RetailNet
OD119615491414652000,1.19615E+16,Adrenex by Flipkart S101 Feather Shuttle...,122 + 7,Delivered,Sep 08 2020,White,Size Not Applicable,RetailNet
OD119615475670757000,1.19615E+16,Philips 10.5 W Standard B22 LED Bulb,419,Delivered,Sep 07 2020,Colour Not Available,Size Not Applicable,SuperComNet
OD119615406615845000,1.19615E+16,CATCUB Baby Girls Casual Pure Cotton Top,649,Delivered,Sep 09 2020,Multicolor,9 - 12 Months,CATCUB
OD119409188166523000,1.19409E+16,Tarkan Foldable Wooden Laptop Desk for B...,849,Delivered,Aug 20 2020,Colour Not Available,Size Not Applicable,SHOPDRIVE
OD119288853142329000,1.19289E+16,Ahika Women Printed Straight Kurta,499 + 27,Cancelled,Aug 20 2020,Colour Not Available,Size Not Applicable,SHOPDRIVE
OD119288827014055000,1.19289E+16,Ahika Women Printed Straight Kurta,499 + 27,Cancelled,Aug 20 2020,Colour Not Available,Size Not Applicable,SHOPDRIVE
OD119280567438552000,1.19281E+16,Vbuyz Women Printed Frontslit Kurta,639,Cancelled,Aug 20 2020,Colour Not Available,Size Not Applicable,SHOPDRIVE
OD119106320476766000,1.19106E+16,Flipkart SmartBuy M4D12B Runtime : 60 mi...,749,Delivered,Jul 13 2020,"Black,Blue",Size Not Applicable,CORSECA
OD118986853347706000,1.18987E+16,Microtek 4 Socket with Usb Charger with ...,711 + 38,Delivered,Jun 27 2020,White,Size Not Applicable,RetailNet
OD118926280841570000,1.18926E+16,Ariel Matic Liquid Detergent,230,Delivered,Jun 19 2020,Colour Not Available,Size Not Applicable,SuperComNet
OD118926247674777000,1.18926E+16,Ariel Matic Liquid Detergent,230,Cancelled,Jun 19 2020,SuperComNet,Size Not Applicable,SuperComNet
OD118838896328546000,1.18839E+16,Microtek 4 Socket with 4 Switch 6A 4  So...,455 + 24,Delivered,Jun 12 2020,White,Size Not Applicable,RetailNet
OD118805609457666000,1.18806E+16,Vksolutions 5 Meter Long Wire Power Stri...,829,Cancelled,Jun 12 2020,White,Size Not Applicable,RetailNet
